repair_id,product_id,sku,component_id,component_type,failure_date,failure_type,failure_description,repair_status,repair_cost,replacement_cost,downtime_days,warranty_claim
R0000036,P000048,LP-MSI-NITRO-ZVI-2024,SSD-MSI-NITRO-ZVI-2024,SSD,2024-05-12,Storage failure,Storage failure reported for ssd.,Component Replaced,204.61,204.61,6,True
R0000037,P000057,LP-MSI-NITRO-OWS-2023,MB-MSI-NITRO-OWS-2023,Motherboard,2025-10-04,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,266.23,681.94,14,False
R0000038,P000057,LP-MSI-NITRO-OWS-2023,BAT-MSI-NITRO-OWS-2023,Battery,2023-05-27,Battery not charging,Battery not charging reported for battery.,Component Replaced,267.18,267.18,1,True
R0000039,P000061,LP-LENOVO-CREATOR-4SP-2022,BAT-LENOVO-CREATOR-4SP-2022,Battery,2022-07-05,Battery not charging,Battery not charging reported for battery.,Repaired,32.61,90.85,3,True
R0000040,P000066,LP-ASUS-PRO-EIY-2020,SSD-ASUS-PRO-EIY-2020,SSD,2020-06-12,Read/write errors,Read/write errors reported for ssd.,Component Replaced,216.28,216.28,4,True
R0000041,P000069,LP-LENOVO-SLIM-C7H-2025,MB-LENOVO-SLIM-C7H-2025,Motherboard,2025-09-18,System instability,System instability reported for motherboard.,Component Replaced,450.57,450.57,14,True
R0000042,P000070,LP-HP-BLADE-J4W-2020,MB-HP-BLADE-J4W-2020,Motherboard,2026-01-14,Power failure,Power failure reported for motherboard.,Component Replaced,593.77,593.77,8,False
R0000043,P000070,LP-HP-BLADE-J4W-2020,BAT-HP-BLADE-J4W-2020,Battery,2020-04-05,Battery swelling,Battery swelling reported for battery.,Component Replaced,199.07,199.07,3,True
R0000044,P000071,LP-HP-STEALTH-VOF-2024,DSP-HP-STEALTH-VOF-2024,Display,2025-02-08,Dead pixels,Dead pixels reported for display.,Repaired,231.05,683.44,9,True
R0000045,P000071,LP-HP-STEALTH-VOF-2024,BAT-HP-STEALTH-VOF-2024,Battery,2024-12-10,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,301.16,301.16,4,True
R0000046,P000072,LP-DELL-PRO-NXA-2018,BAT-DELL-PRO-NXA-2018,Battery,2024-02-09,Battery not charging,Battery not charging reported for battery.,Repaired,51.95,151.81,2,False
R0000047,P000073,LP-DELL-PRO-TKC-2024,BAT-DELL-PRO-TKC-2024,Battery,2024-07-27,Battery swelling,Battery swelling reported for battery.,Component Replaced,225.17,225.17,4,True
R0000048,P000075,LP-LENOVO-ZEN-P4U-2022,SSD-LENOVO-ZEN-P4U-2022,SSD,2023-09-20,Drive not detected,Drive not detected reported for ssd.,Component Replaced,256.61,256.61,4,True
R0000049,P000076,LP-APPLE-THINK-I94-2022,MB-APPLE-THINK-I94-2022,Motherboard,2022-12-06,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,899.48,899.48,12,True
R0000050,P000079,LP-DELL-ZEN-C3D-2025,MB-DELL-ZEN-C3D-2025,Motherboard,2025-07-09,System instability,System instability reported for motherboard.,Component Replaced,392.79,392.79,15,True
R0000051,P000081,LP-LENOVO-ZEN-7XQ-2019,SSD-LENOVO-ZEN-7XQ-2019,SSD,2025-10-05,Storage failure,Storage failure reported for ssd.,Component Replaced,142.11,142.11,6,False
R0000052,P000086,LP-HP-CREATOR-CX3-2024,MB-HP-CREATOR-CX3-2024,Motherboard,2024-11-29,Power failure,Power failure reported for motherboard.,Component Replaced,496.8,496.8,11,True
R0000053,P000086,LP-HP-CREATOR-CX3-2024,BAT-HP-CREATOR-CX3-2024,Battery,2025-08-26,Battery swelling,Battery swelling reported for battery.,Component Replaced,192.25,192.25,4,False
R0000054,P000087,LP-APPLE-THINK-MF2-2024,BAT-APPLE-THINK-MF2-2024,Battery,2025-03-14,Battery degradation,Battery degradation reported for battery.,Component Replaced,186.86,186.86,4,True
R0000055,P000088,LP-DELL-NITRO-IYG-2025,MB-DELL-NITRO-IYG-2025,Motherboard,2025-10-11,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,308.39,536.04,5,True
R0000056,P000088,LP-DELL-NITRO-IYG-2025,BAT-DELL-NITRO-IYG-2025,Battery,2026-03-03,Battery not charging,Battery not charging reported for battery.,Component Replaced,198.21,198.21,3,True
R0000057,P000090,LP-HP-CREATOR-CMV-2019,MB-HP-CREATOR-CMV-2019,Motherboard,2022-10-14,System instability,System instability reported for motherboard.,Repaired,128.39,369.85,6,False
R0000058,P000092,LP-APPLE-CREATOR-LE9-2020,DSP-APPLE-CREATOR-LE9-2020,Display,2021-03-29,Backlight failure,Backlight failure reported for display.,Repaired,291.39,694.7,4,False
R0000059,P000093,LP-SAMSUNG-CREATOR-CVL-2022,BAT-SAMSUNG-CREATOR-CVL-2022,Battery,2024-08-07,Battery not charging,Battery not charging reported for battery.,Component Replaced,249.87,249.87,4,False
R0000060,P000094,LP-SAMSUNG-THINK-TLL-2025,BAT-SAMSUNG-THINK-TLL-2025,Battery,2025-05-11,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,150.63,150.63,3,True
R0000061,P000098,LP-DELL-NITRO-3NJ-2023,MB-DELL-NITRO-3NJ-2023,Motherboard,2024-12-05,Power failure,Power failure reported for motherboard.,Component Replaced,334.38,334.38,7,True
R0000062,P000099,LP-HP-ZEN-31X-2024,DSP-HP-ZEN-31X-2024,Display,2025-02-02,Backlight failure,Backlight failure reported for display.,Repaired,111.86,215.62,7,True
R0000063,P000100,LP-HP-ZEN-X5I-2018,MB-HP-ZEN-X5I-2018,Motherboard,2020-11-16,Power failure,Power failure reported for motherboard.,Component Replaced,532.24,532.24,10,False
R0000064,P000104,LP-ACER-STEALTH-YSY-2023,MB-ACER-STEALTH-YSY-2023,Motherboard,2024-07-16,Boot failure,Boot failure reported for motherboard.,Component Replaced,453.59,453.59,5,True
R0000065,P000104,LP-ACER-STEALTH-YSY-2023,DSP-ACER-STEALTH-YSY-2023,Display,2023-07-26,Display failure,Display failure reported for display.,End of Life,65.1,414.79,7,True
R0000066,P000106,LP-DELL-CREATOR-RTZ-2018,BAT-DELL-CREATOR-RTZ-2018,Battery,2026-04-23,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,88.24,204.64,1,False
R0000067,P000106,LP-DELL-CREATOR-RTZ-2018,SSD-DELL-CREATOR-RTZ-2018,SSD,2025-10-30,Read/write errors,Read/write errors reported for ssd.,Component Replaced,177.16,177.16,4,False
R0000068,P000108,LP-HP-THINK-N5U-2022,MB-HP-THINK-N5U-2022,Motherboard,2026-08-09,System instability,System instability reported for motherboard.,Component Replaced,324.23,324.23,13,False
R0000069,P000108,LP-HP-THINK-N5U-2022,SSD-HP-THINK-N5U-2022,SSD,2023-09-16,Storage failure,Storage failure reported for ssd.,Component Replaced,137.91,137.91,2,True
R0000070,P000109,LP-DELL-STEALTH-SZR-2021,DSP-DELL-STEALTH-SZR-2021,Display,2022-10-10,Dead pixels,Dead pixels reported for display.,Component Replaced,379.45,379.45,6,True
R0000071,P000114,LP-ACER-CREATOR-3LH-2020,MB-ACER-CREATOR-3LH-2020,Motherboard,2021-07-05,System instability,System instability reported for motherboard.,Component Replaced,322.2,322.2,15,True
R0000072,P000114,LP-ACER-CREATOR-3LH-2020,BAT-ACER-CREATOR-3LH-2020,Battery,2023-03-01,Battery swelling,Battery swelling reported for battery.,Repaired,37.67,127.96,1,False
R0000073,P000114,LP-ACER-CREATOR-3LH-2020,SSD-ACER-CREATOR-3LH-2020,SSD,2026-06-10,Storage failure,Storage failure reported for ssd.,Component Replaced,151.15,151.15,2,False
R0000074,P000118,LP-MSI-PRO-5MR-2021,MB-MSI-PRO-5MR-2021,Motherboard,2022-10-17,Power failure,Power failure reported for motherboard.,Component Replaced,454.54,454.54,5,True
R0000075,P000121,LP-DELL-STEALTH-89T-2023,BAT-DELL-STEALTH-89T-2023,Battery,2024-12-23,Battery swelling,Battery swelling reported for battery.,Component Replaced,225.95,225.95,3,False
R0000076,P000121,LP-DELL-STEALTH-89T-2023,KBD-DELL-STEALTH-89T-2023,Keyboard,2026-04-15,Keyboard not responding,Keyboard not responding reported for keyboard.,End of Life,15.53,107.59,1,False
R0000077,P000122,LP-HP-SLIM-SHR-2025,DSP-HP-SLIM-SHR-2025,Display,2025-06-22,Dead pixels,Dead pixels reported for display.,Repaired,241.46,412.21,8,True
R0000078,P000122,LP-HP-SLIM-SHR-2025,KBD-HP-SLIM-SHR-2025,Keyboard,2026-05-06,Liquid damage,Liquid damage reported for keyboard.,Repaired,34.38,84.32,3,True
R0000079,P000123,LP-MSI-AIR-8K0-2023,MB-MSI-AIR-8K0-2023,Motherboard,2023-09-23,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,441.05,441.05,8,True
R0000080,P000123,LP-MSI-AIR-8K0-2023,BAT-MSI-AIR-8K0-2023,Battery,2024-02-01,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,71.02,128.59,4,True
R0000081,P000124,LP-SAMSUNG-THINK-9L9-2022,BAT-SAMSUNG-THINK-9L9-2022,Battery,2022-07-13,Battery not charging,Battery not charging reported for battery.,Component Replaced,285.7,285.7,2,True
R0000082,P000124,LP-SAMSUNG-THINK-9L9-2022,KBD-SAMSUNG-THINK-9L9-2022,Keyboard,2025-11-19,Keyboard not responding,Keyboard not responding reported for keyboard.,Repaired,38.01,142.15,1,False
R0000083,P000127,LP-HP-CREATOR-G4L-2024,BAT-HP-CREATOR-G4L-2024,Battery,2024-11-09,Battery degradation,Battery degradation reported for battery.,End of Life,11.81,102.46,2,True
R0000084,P000128,LP-ACER-THINK-XK4-2021,MB-ACER-THINK-XK4-2021,Motherboard,2023-08-09,Power failure,Power failure reported for motherboard.,Repaired,136.09,337.18,8,False
R0000085,P000128,LP-ACER-THINK-XK4-2021,RAM-ACER-THINK-XK4-2021,RAM,2026-01-29,Memory error,Memory error reported for ram.,Repaired,52.79,105.64,1,False
R0000086,P000128,LP-ACER-THINK-XK4-2021,KBD-ACER-THINK-XK4-2021,Keyboard,2024-05-28,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,47.1,47.1,4,False
R0000087,P000129,LP-APPLE-THINK-6Z8-2023,MB-APPLE-THINK-6Z8-2023,Motherboard,2024-02-24,System instability,System instability reported for motherboard.,Repaired,526.74,980.57,5,False
R0000088,P000130,LP-LENOVO-LEGION-1XM-2023,MB-LENOVO-LEGION-1XM-2023,Motherboard,2023-08-02,System instability,System instability reported for motherboard.,Repaired,166.53,394.45,13,True
R0000089,P000133,LP-LENOVO-LEGION-C03-2022,DSP-LENOVO-LEGION-C03-2022,Display,2025-02-17,Display failure,Display failure reported for display.,Component Replaced,384.65,384.65,4,False
R0000090,P000133,LP-LENOVO-LEGION-C03-2022,BAT-LENOVO-LEGION-C03-2022,Battery,2023-01-06,Battery degradation,Battery degradation reported for battery.,Component Replaced,185.95,185.95,1,True
R0000091,P000133,LP-LENOVO-LEGION-C03-2022,SSD-LENOVO-LEGION-C03-2022,SSD,2023-03-20,Drive not detected,Drive not detected reported for ssd.,Repaired,86.33,240.14,5,True
R0000092,P000135,LP-APPLE-LEGION-UDP-2022,MB-APPLE-LEGION-UDP-2022,Motherboard,2025-01-19,Power failure,Power failure reported for motherboard.,Component Replaced,887.53,887.53,9,False
R0000093,P000136,LP-DELL-PRO-AVJ-2022,MB-DELL-PRO-AVJ-2022,Motherboard,2024-03-30,Power failure,Power failure reported for motherboard.,Component Replaced,444.92,444.92,7,False
R0000094,P000136,LP-DELL-PRO-AVJ-2022,DSP-DELL-PRO-AVJ-2022,Display,2024-08-09,Backlight failure,Backlight failure reported for display.,Component Replaced,378.7,378.7,9,False
R0000095,P000137,LP-GIGABYTE-LEGION-3Y6-2022,SSD-GIGABYTE-LEGION-3Y6-2022,SSD,2024-02-17,Read/write errors,Read/write errors reported for ssd.,Component Replaced,151.26,151.26,6,False
R0000096,P000138,LP-APPLE-SLIM-7I1-2024,RAM-APPLE-SLIM-7I1-2024,RAM,2026-06-02,System crashes,System crashes reported for ram.,Component Replaced,148.41,148.41,1,False
R0000097,P000141,LP-APPLE-SLIM-1V2-2025,MB-APPLE-SLIM-1V2-2025,Motherboard,2025-01-26,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,680.39,680.39,14,True
R0000098,P000142,LP-LENOVO-PRO-F7L-2023,BAT-LENOVO-PRO-F7L-2023,Battery,2024-10-30,Battery degradation,Battery degradation reported for battery.,Component Replaced,175.5,175.5,3,False
R0000099,P000145,LP-APPLE-BLADE-HGB-2024,MB-APPLE-BLADE-HGB-2024,Motherboard,2024-06-30,System instability,System instability reported for motherboard.,Component Replaced,397.13,397.13,15,True
R0000100,P000146,LP-DELL-STEALTH-CTW-2019,DSP-DELL-STEALTH-CTW-2019,Display,2022-07-10,Dead pixels,Dead pixels reported for display.,Repaired,298.44,514.57,6,False
R0000101,P000149,LP-GIGABYTE-AIR-HXP-2022,MB-GIGABYTE-AIR-HXP-2022,Motherboard,2024-01-14,System instability,System instability reported for motherboard.,Repaired,218.76,659.1,5,False
R0000102,P000151,LP-LENOVO-BLADE-SU1-2025,BAT-LENOVO-BLADE-SU1-2025,Battery,2026-06-10,Battery swelling,Battery swelling reported for battery.,Component Replaced,211.75,211.75,4,True
R0000103,P000154,LP-HP-STEALTH-GX9-2024,BAT-HP-STEALTH-GX9-2024,Battery,2025-09-21,Battery not charging,Battery not charging reported for battery.,Component Replaced,173.02,173.02,1,False
R0000104,P000155,LP-LENOVO-LEGION-548-2019,MB-LENOVO-LEGION-548-2019,Motherboard,2023-12-15,System instability,System instability reported for motherboard.,Component Replaced,424.26,424.26,14,False
R0000105,P000158,LP-DELL-BLADE-XNE-2020,MB-DELL-BLADE-XNE-2020,Motherboard,2024-01-18,System instability,System instability reported for motherboard.,Repaired,176.8,464.69,10,False
R0000106,P000161,LP-APPLE-AIR-OOH-2021,BAT-APPLE-AIR-OOH-2021,Battery,2025-04-13,Battery not charging,Battery not charging reported for battery.,Repaired,57.84,129.47,3,False
R0000107,P000162,LP-MSI-PRO-C21-2019,KBD-MSI-PRO-C21-2019,Keyboard,2020-10-19,Keyboard not responding,Keyboard not responding reported for keyboard.,Component Replaced,96.85,96.85,2,True
R0000108,P000163,LP-DELL-AIR-YSG-2018,MB-DELL-AIR-YSG-2018,Motherboard,2022-06-29,Boot failure,Boot failure reported for motherboard.,Component Replaced,348.65,348.65,5,False
R0000109,P000165,LP-SAMSUNG-NITRO-42P-2022,MB-SAMSUNG-NITRO-42P-2022,Motherboard,2025-08-28,Boot failure,Boot failure reported for motherboard.,Component Replaced,441.4,441.4,13,False
R0000110,P000167,LP-SAMSUNG-AIR-HGR-2024,DSP-SAMSUNG-AIR-HGR-2024,Display,2025-03-11,Dead pixels,Dead pixels reported for display.,Repaired,170.05,533.16,6,True
R0000111,P000168,LP-APPLE-AIR-3NW-2021,MB-APPLE-AIR-3NW-2021,Motherboard,2022-11-20,Power failure,Power failure reported for motherboard.,Component Replaced,456.71,456.71,8,False
R0000112,P000170,LP-SAMSUNG-THINK-YZ5-2022,SSD-SAMSUNG-THINK-YZ5-2022,SSD,2026-01-03,Performance degradation,Performance degradation reported for ssd.,Component Replaced,236.3,236.3,5,False
R0000113,P000174,LP-SAMSUNG-PRO-V2U-2023,BAT-SAMSUNG-PRO-V2U-2023,Battery,2023-08-15,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,30.67,100.46,4,True
R0000114,P000175,LP-APPLE-BLADE-77Q-2021,MB-APPLE-BLADE-77Q-2021,Motherboard,2024-08-01,System instability,System instability reported for motherboard.,Component Replaced,928.57,928.57,7,False
R0000115,P000179,LP-ASUS-STEALTH-2HU-2023,MB-ASUS-STEALTH-2HU-2023,Motherboard,2026-07-02,System instability,System instability reported for motherboard.,Component Replaced,633.21,633.21,14,False
R0000116,P000184,LP-HP-THINK-8O7-2022,BAT-HP-THINK-8O7-2022,Battery,2025-09-28,Battery swelling,Battery swelling reported for battery.,Component Replaced,183.9,183.9,2,False
R0000117,P000185,LP-ACER-AIR-NVD-2022,MB-ACER-AIR-NVD-2022,Motherboard,2023-09-10,Boot failure,Boot failure reported for motherboard.,Repaired,215.27,539.53,7,False
R0000118,P000185,LP-ACER-AIR-NVD-2022,BAT-ACER-AIR-NVD-2022,Battery,2024-11-29,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,204.11,204.11,3,False
R0000119,P000186,LP-HP-SLIM-POV-2024,MB-HP-SLIM-POV-2024,Motherboard,2024-02-18,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,335.36,335.36,6,True
R0000120,P000186,LP-HP-SLIM-POV-2024,KBD-HP-SLIM-POV-2024,Keyboard,2026-05-29,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,58.9,58.9,3,False
R0000121,P000187,LP-DELL-ZEN-ZGA-2022,MB-DELL-ZEN-ZGA-2022,Motherboard,2022-05-21,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,223.57,415.07,10,True
R0000122,P000190,LP-LENOVO-ZEN-2GD-2025,SSD-LENOVO-ZEN-2GD-2025,SSD,2025-01-17,Drive not detected,Drive not detected reported for ssd.,Component Replaced,179.14,179.14,7,True
R0000123,P000193,LP-SAMSUNG-ZEN-3Q3-2024,MB-SAMSUNG-ZEN-3Q3-2024,Motherboard,2025-12-15,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,107.55,399.7,15,True
R0000124,P000193,LP-SAMSUNG-ZEN-3Q3-2024,SSD-SAMSUNG-ZEN-3Q3-2024,SSD,2026-07-08,Performance degradation,Performance degradation reported for ssd.,Component Replaced,199.17,199.17,5,False
R0000125,P000193,LP-SAMSUNG-ZEN-3Q3-2024,KBD-SAMSUNG-ZEN-3Q3-2024,Keyboard,2026-01-18,Keyboard not responding,Keyboard not responding reported for keyboard.,Repaired,24.34,68.67,5,False
R0000126,P000194,LP-ACER-LEGION-98W-2022,BAT-ACER-LEGION-98W-2022,Battery,2025-08-29,Battery swelling,Battery swelling reported for battery.,Repaired,81.37,273.87,1,False
R0000127,P000195,LP-SAMSUNG-CREATOR-YRP-2021,MB-SAMSUNG-CREATOR-YRP-2021,Motherboard,2023-06-17,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,839.01,839.01,7,True
R0000128,P000198,LP-APPLE-AIR-RHO-2022,MB-APPLE-AIR-RHO-2022,Motherboard,2022-11-17,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,783.77,783.77,11,True
R0000129,P000199,LP-DELL-NITRO-VMN-2023,MB-DELL-NITRO-VMN-2023,Motherboard,2024-03-12,Boot failure,Boot failure reported for motherboard.,Component Replaced,588.93,588.93,15,True
R0000130,P000201,LP-APPLE-THINK-2DF-2021,SSD-APPLE-THINK-2DF-2021,SSD,2025-10-09,Read/write errors,Read/write errors reported for ssd.,Component Replaced,250.63,250.63,7,False
R0000131,P000201,LP-APPLE-THINK-2DF-2021,KBD-APPLE-THINK-2DF-2021,Keyboard,2021-06-29,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,104.37,104.37,3,True
R0000132,P000204,LP-MSI-STEALTH-QK8-2019,DSP-MSI-STEALTH-QK8-2019,Display,2021-02-06,Display failure,Display failure reported for display.,Component Replaced,351.58,351.58,8,True
R0000133,P000204,LP-MSI-STEALTH-QK8-2019,BAT-MSI-STEALTH-QK8-2019,Battery,2020-10-21,Battery swelling,Battery swelling reported for battery.,Component Replaced,162.66,162.66,2,True
R0000134,P000205,LP-RAZER-NITRO-R96-2024,MB-RAZER-NITRO-R96-2024,Motherboard,2025-08-23,Boot failure,Boot failure reported for motherboard.,Repaired,219.84,405.55,12,True
R0000135,P000205,LP-RAZER-NITRO-R96-2024,KBD-RAZER-NITRO-R96-2024,Keyboard,2024-06-30,Multiple keys malfunctioning,Multiple keys malfunctioning reported for keyboard.,Repaired,37.27,66.46,2,True
R0000136,P000208,LP-LENOVO-LEGION-1PQ-2024,DSP-LENOVO-LEGION-1PQ-2024,Display,2025-09-06,Backlight failure,Backlight failure reported for display.,Component Replaced,340.82,340.82,9,True
R0000137,P000209,LP-HP-PRO-UF6-2023,BAT-HP-PRO-UF6-2023,Battery,2024-02-04,Battery degradation,Battery degradation reported for battery.,Component Replaced,209.68,209.68,1,True
R0000138,P000210,LP-ASUS-LEGION-SXL-2023,MB-ASUS-LEGION-SXL-2023,Motherboard,2023-12-02,Power failure,Power failure reported for motherboard.,Component Replaced,512.5,512.5,14,True
R0000139,P000211,LP-SAMSUNG-PRO-ZYI-2020,MB-SAMSUNG-PRO-ZYI-2020,Motherboard,2020-05-28,System instability,System instability reported for motherboard.,Component Replaced,312.39,312.39,10,True
